iter	Logloss
0	0.6619955119
1	0.63301401
2	0.6060155959
3	0.5847803878
4	0.5669380066
5	0.5479146788
6	0.5321599246
7	0.5167123787
8	0.503234391
9	0.489365314
10	0.4792203177
11	0.4666699831
12	0.4558279454
13	0.445675647
14	0.4361582525
15	0.4278370757
16	0.4214848554
17	0.4121896208
18	0.4036817444
19	0.395524682
20	0.3865743963
21	0.3798178246
22	0.3732589025
23	0.3655214685
24	0.3618593763
25	0.356419344
26	0.3517185789
27	0.3460772049
28	0.3421638099
29	0.3383718217
30	0.3339948449
31	0.3300475006
32	0.3263009572
33	0.3240003322
34	0.3213529828
35	0.3180185013
36	0.3151070685
37	0.3113981107
38	0.307796653
39	0.3061518375
40	0.3021006908
41	0.2996109343
42	0.2976341026
43	0.2947855274
44	0.2928196668
45	0.2896133211
46	0.2870781084
47	0.2851746023
48	0.2840704527
49	0.2828228799
50	0.2804366971
51	0.2779457304
52	0.2760424472
53	0.2740221909
54	0.27174739
55	0.269810443
56	0.2685963559
57	0.2674280411
58	0.2655550732
59	0.2645135625
60	0.2633716543
61	0.262359492
62	0.2608393568
63	0.2591621397
64	0.2587019075
65	0.2575370527
66	0.2567188592
67	0.2554587111
68	0.2541535291
69	0.2534770151
70	0.2524652831
71	0.2513199829
72	0.2509323842
73	0.2502634981
74	0.2487811748
75	0.2479715907
76	0.2469597353
77	0.245864949
78	0.2448909359
79	0.2436638894
80	0.2428583541
81	0.2421965485
82	0.2416045394
83	0.2405434377
84	0.2397011594
85	0.2390851027
86	0.2384888435
87	0.238103268
88	0.2371451581
89	0.2365350161
90	0.2360005297
91	0.2356793101
92	0.2349723375
93	0.2344108693
94	0.2339930997
95	0.2332270554
96	0.2324708887
97	0.2319648973
98	0.2314876616
99	0.2307700777
100	0.2298946731
101	0.2293725074
102	0.2289332251
103	0.2286441228
104	0.22798606
105	0.2272454409
106	0.2270252239
107	0.2263179236
108	0.225995276
109	0.2256909778
110	0.2252782764
111	0.2242754334
112	0.2236579425
113	0.2229772764
114	0.2223334247
115	0.2220188416
116	0.2216248065
117	0.2213202517
118	0.2210142448
119	0.2206613195
120	0.2199446959
121	0.219738471
122	0.2192576309
123	0.2189844391
124	0.2187275661
125	0.2182327852
126	0.2178692665
127	0.2176956171
128	0.2174129754
129	0.2170257286
130	0.2164732154
131	0.2163249196
132	0.2161115809
133	0.2158294443
134	0.215600532
135	0.2153525627
136	0.2149520108
137	0.2147088337
138	0.2143608468
139	0.2140531196
140	0.2139747115
141	0.2136853817
142	0.213519662
143	0.2130405498
144	0.2127458534
145	0.2124122849
146	0.2120913111
147	0.2115214442
148	0.2113778659
149	0.2109756012
150	0.2106111118
151	0.2102901823
152	0.2100162139
153	0.2096977725
154	0.209430973
155	0.2090720253
156	0.2089186036
157	0.2086713104
158	0.2083964709
159	0.2081435616
160	0.2077252915
161	0.2074416973
162	0.2071616308
163	0.206923211
164	0.2066847151
165	0.2064715855
166	0.2062534388
167	0.2061657323
168	0.2059521535
169	0.2057878698
170	0.2056607146
171	0.2054625594
172	0.2050858498
173	0.2048441733
174	0.2045062473
175	0.204346725
176	0.2039467783
177	0.2036876283
178	0.2033466761
179	0.2030584777
180	0.2029309359
181	0.2025637068
182	0.2023903282
183	0.2021874721
184	0.2020722725
185	0.2019135567
186	0.201741234
187	0.2015304029
188	0.2013023296
189	0.2010119707
190	0.2008243326
191	0.2003995024
192	0.2000591707
193	0.1996982431
194	0.1995227903
195	0.1993916276
196	0.1992275284
197	0.199114489
198	0.1989237276
199	0.1985546922
200	0.1983553289
201	0.1981324925
202	0.1977331789
203	0.1973294469
204	0.197092324
205	0.1969908429
206	0.1969029017
207	0.1967094425
208	0.1965644845
209	0.1963894268
210	0.1962753782
211	0.1961414217
212	0.1958117227
213	0.1955256967
214	0.19538685
215	0.195172621
216	0.1950142233
217	0.1948614522
218	0.1947562005
219	0.1945477462
220	0.1942626792
221	0.1940335567
222	0.1939268332
223	0.1938129889
224	0.1936655342
225	0.1935272236
226	0.1934024923
227	0.1931661173
228	0.193029155
229	0.1929194925
230	0.1927507845
231	0.1926029284
232	0.1924888234
233	0.1923834236
234	0.1921910588
235	0.1920453245
236	0.1919122308
237	0.1917439108
238	0.1916749282
239	0.1915474906
240	0.1914127487
241	0.1913117052
242	0.191182698
243	0.191037369
244	0.1909241007
245	0.1908235179
246	0.1906571537
247	0.1905019291
248	0.190218388
249	0.1900244346
250	0.1898238686
251	0.1897240455
252	0.1895434162
253	0.1894238651
254	0.1893575984
255	0.1892927972
256	0.189128311
257	0.1890055775
258	0.1888569917
259	0.1887500528
260	0.1885399044
261	0.1882159695
262	0.1881132775
263	0.1879404435
264	0.1878148671
265	0.1875293278
266	0.1874008342
267	0.1872407457
268	0.1870790295
269	0.1869597605
270	0.1867445937
271	0.1865710446
272	0.1864517584
273	0.1863915912
274	0.1863054075
275	0.1861852544
276	0.1860832483
277	0.1859686566
278	0.1857236293
279	0.1855363735
280	0.1854642934
281	0.1853198784
282	0.1851957758
283	0.1850094949
284	0.1848393459
285	0.1845608811
286	0.1844589697
287	0.1842970244
288	0.1841793477
289	0.1839341175
290	0.1838748473
291	0.1837644618
292	0.1836553538
293	0.1834811241
294	0.1833976665
295	0.1832311992
296	0.1831298678
297	0.1829750122
298	0.1828648988
299	0.1827883381
300	0.1827073344
301	0.1826169544
302	0.1824862195
303	0.1823620554
304	0.1822006672
