iter	Passed	Remaining
0	65	64970
1	71	35691
2	76	25283
3	80	20085
4	84	16856
5	88	14633
6	93	13211
7	97	12109
8	101	11205
9	105	10487
10	110	9911
11	114	9437
12	118	9006
13	122	8610
14	126	8308
15	130	8013
16	134	7763
17	139	7592
18	143	7414
19	147	7244
20	151	7076
21	156	6943
22	160	6809
23	164	6684
24	168	6567
25	172	6457
26	176	6362
27	180	6265
28	184	6177
29	188	6101
30	193	6039
31	197	5973
32	201	5907
33	205	5841
34	209	5784
35	213	5730
36	217	5672
37	222	5626
38	226	5579
39	230	5527
40	234	5475
41	238	5432
42	242	5398
43	246	5366
44	250	5322
45	255	5291
46	259	5259
47	263	5226
48	267	5187
49	270	5145
50	274	5105
51	278	5068
52	281	5030
53	284	4991
54	288	4961
55	292	4933
56	296	4906
57	301	4890
58	305	4873
59	310	4861
60	314	4844
61	318	4825
62	323	4804
63	328	4798
64	333	4800
65	340	4818
66	345	4809
67	350	4802
68	355	4793
69	360	4788
70	365	4786
71	370	4778
72	377	4799
73	383	4796
74	390	4811
75	396	4820
76	401	4808
77	406	4809
78	412	4804
79	417	4802
80	421	4787
81	427	4784
82	447	4946
83	453	4942
84	458	4939
85	463	4923
86	476	4998
87	480	4976
88	483	4948
89	487	4924
90	490	4898
91	493	4873
92	497	4849
93	500	4826
94	504	4804
95	507	4782
96	511	4759
97	514	4738
98	518	4717
99	521	4695
100	525	4676
101	528	4653
102	532	4633
103	535	4614
104	539	4595
105	542	4577
106	545	4555
107	549	4538
108	552	4518
109	556	4503
110	560	4486
111	563	4469
112	567	4452
113	570	4434
114	574	4419
115	577	4404
116	581	4386
117	584	4371
118	588	4356
119	592	4343
120	595	4328
121	599	4312
122	602	4297
123	606	4284
124	609	4269
125	613	4256
126	617	4242
127	620	4229
128	624	4218
129	628	4209
130	632	4195
131	636	4184
132	640	4173
133	643	4160
134	647	4146
135	650	4134
136	654	4121
137	657	4109
138	661	4097
139	664	4083
140	668	4072
141	672	4062
142	675	4049
143	679	4037
144	682	4025
145	686	4013
146	690	4004
147	693	3993
148	697	3981
149	700	3970
150	704	3958
151	707	3947
152	710	3935
153	714	3923
154	717	3911
155	721	3903
156	724	3892
157	728	3881
158	731	3870
159	735	3861
160	739	3852
161	742	3841
162	746	3831
163	749	3819
164	752	3808
165	756	3799
166	759	3790
167	763	3779
168	766	3770
169	770	3761
170	773	3751
171	777	3742
172	781	3737
173	786	3732
174	790	3725
175	793	3716
176	797	3708
177	800	3698
178	804	3691
179	808	3681
180	811	3672
181	815	3663
182	818	3655
183	823	3651
184	827	3644
185	831	3636
186	834	3626
187	837	3615
188	840	3605
189	843	3593
190	846	3585
191	849	3574
192	852	3563
193	855	3552
194	858	3542
195	860	3531
196	863	3521
197	867	3511
198	870	3502
199	873	3492
200	876	3483
201	879	3473
202	882	3463
203	885	3453
204	887	3443
