movie_display_name,movie_production_year,movie_odid,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name,movie_sequel,movie_running_time,Description
"The Last Days on Mars",2013,197330100,10600000,24084,237280,2013-01-01,"Science Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,98,NULL
Darkness,2002,23550100,10600000,22163442,12245764,2002-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Horror,0,88,NULL
"Les Intouchables",2011,164220100,10800000,13182281,471690764,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,110,NULL
Kinsey,2004,36860100,11000000,10214647,2786312,2004-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,118,NULL
"If I Stay",2014,146900100,11000000,50474843,28400000,2014-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,106,NULL
"Woman in Gold",2014,220190100,11000000,33307793,23450345,2014-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,107,NULL
"The Fighter",2010,108640100,11000000,93617009,35645379,2010-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,115,NULL
"Corky Romano",2001,22270100,11000000,23978402,1137701,2001-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,86,NULL
"The Secret Life of Bees",2008,14980100,11000000,37770162,2213861,2008-01-01,"Historical Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,110,NULL
Quartet,2011,144180100,11000000,18388357,37790578,2011-01-01,"Contemporary Fiction","Based on Play","Live Action",Comedy,0,99,NULL
"Le prénom",2012,184450100,11000000,61611,25245794,2012-01-01,"Contemporary Fiction","Original Screenplay","Live Action",,0,0,NULL
"Inside Llewyn Davis",2012,184960100,11000000,13248209,19695038,2012-01-01,"Historical Fiction","Based on Factual Book/Article","Live Action",Drama,0,104,NULL
Brooklyn,2014,220510100,11000000,38273392,21979924,2014-01-01,"Historical Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,113,NULL
"Heaven is for Real",2013,191180100,12000000,91386097,9533014,2013-01-01,Dramatization,"Based on Factual Book/Article","Live Action",Drama,0,100,NULL
"5 Days of War",2011,163750100,12000000,17479,70314,2011-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,113,NULL
Trash,2014,217960100,12000000,17484,6535702,2014-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Adventure,0,113,NULL
Arbitrage,2011,170980100,12000000,7919574,27911139,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,100,NULL
"Rachel Getting Married",2008,33280100,12000000,12796861,4678614,2008-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,113,NULL
Nebraska,2013,191160100,12000000,17654912,7106448,2013-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,114,NULL
"Young Adult",2011,143410100,12000000,16311571,6438785,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,94,NULL
Quarantine,2008,17940100,12000000,31691811,10232963,2008-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Horror,0,89,NULL
"Project Almanac",2013,191170100,12000000,22348241,9900000,2013-01-01,"Science Fiction","Original Screenplay","Live Action",Adventure,0,106,NULL
"Paper Towns",2015,212140100,12000000,32000304,53511996,2015-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,109,NULL
"For Greater Glory",2012,174220100,12000000,5669081,4357174,2012-01-01,Dramatization,"Based on Real Life Events","Live Action",Action,0,143,NULL
"Charlie Bartlett",2008,49470100,12000000,3950294,1345615,2008-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,97,NULL
"Nanjing! Nanjing!",2009,153060100,12000000,122558,20000000,2009-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,135,NULL
Gwoemul,2007,54910100,12000000,2201923,90416194,2007-01-01,"Science Fiction","Original Screenplay","Live Action",Action,0,119,NULL
Chronicle,2011,160260100,12000000,64575175,59106615,2011-01-01,"Science Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,106,NULL
"Top Five",2014,212890100,12000000,25317379,197469,2014-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,101,NULL
