,account_length,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
0,101.0,0.0,70.9,123.0,12.05,270.26,73.0,22.976,236.0,73.0,10.62,10.6,3.0,2.86,3.0
1,137.0,0.0,223.6,86.0,37.912,244.8,139.0,20.81,94.2,81.0,4.24,9.5,7.0,2.57,0.0
2,103.0,29.0,294.7,95.0,40.878,237.3,105.0,20.17,300.3,127.0,13.51,13.7,4.8,3.7,1.0
3,99.0,33.2,216.8,123.0,36.86,126.4,88.0,10.74,220.6,82.0,9.93,9.0,2.0,2.432,1.0
4,108.0,0.0,197.4,78.0,33.56,124.0,101.0,10.54,204.5,107.0,9.2,7.7,4.0,2.08,2.0
5,117.0,0.0,202.51999999999998,85.0,38.51,141.6,68.0,12.913999999999998,223.0,90.0,10.04,6.9,5.0,2.9240000000000004,1.0
6,63.0,32.0,218.9,82.4,37.21,214.3,125.0,18.22,260.3,120.0,11.71,12.9,3.0,3.48,1.0
7,94.0,20.2,157.5,97.0,26.78,224.5,112.0,19.08,310.8,106.0,13.99,11.1,6.0,3.0,0.0
8,138.0,0.0,89.1,117.0,15.15,126.8,98.8,10.78,190.5,105.2,8.714,9.9,4.0,2.67,2.0
9,128.0,43.0,177.33999999999997,89.0,30.23,147.3,102.2,12.52,194.2,92.0,8.74,11.9,4.6,3.21,0.0
10,113.0,39.0,209.8,77.0,35.67,233.74,90.0,13.95,159.7,100.0,7.19,9.0,4.0,2.43,1.0
11,140.0,0.0,93.2,109.0,15.84,197.6,116.0,16.8,219.8,94.0,9.89,10.5,2.0,2.84,1.0
12,102.0,0.0,228.1,104.2,38.78,156.0,97.0,13.26,227.9,124.0,10.26,10.6,9.0,2.86,1.0
13,108.0,12.8,112.6,86.0,19.14,114.9,101.0,9.77,177.8,119.0,8.0,7.2,6.0,1.94,3.0
14,60.0,0.0,207.3,77.0,35.24,207.9,105.0,17.67,108.2,89.0,4.87,12.9,5.0,3.48,1.0
15,96.0,0.0,208.1,93.0,35.38,189.2,107.0,16.08,279.6,90.0,12.58,7.4,2.0,2.0,1.0
16,178.0,22.0,112.8,66.0,19.18,232.6,100.0,19.77,194.8,119.0,8.77,14.3,3.0,3.86,1.0
17,75.0,0.0,225.3,124.0,33.78,228.0,81.0,19.38,254.3,106.0,11.44,11.7,3.0,3.16,1.0
18,106.0,25.0,169.4,105.0,28.8,240.5,108.0,20.44,159.4,114.0,7.17,12.959999999999999,5.0,3.75,4.0
19,158.0,0.0,161.0,121.0,32.86,208.1,97.0,17.218,228.1,99.0,10.26,7.1,9.0,1.92,1.0
20,111.0,35.0,161.2,142.0,27.4,159.1,104.0,15.233999999999998,167.9,98.0,7.56,14.7,5.0,3.97,1.0
21,102.0,0.0,102.05999999999999,88.0,16.25,198.5,106.0,14.25,177.3,95.0,7.98,9.8,2.0,2.65,3.0
22,92.0,25.0,79.8,98.6,13.57,313.6,120.0,26.66,135.5,104.0,6.1,9.3,8.0,2.51,2.0
23,42.0,31.0,170.8,101.0,29.04,233.4,105.0,19.84,174.2,121.0,7.84,11.0,3.0,2.97,2.0
24,69.0,0.0,229.2,111.0,38.96,165.3,104.0,14.05,235.1,80.0,10.58,5.2,5.0,1.4,1.0
25,117.0,38.0,259.3,94.0,44.08,245.6,71.0,18.156,269.3,125.0,12.12,9.2,1.0,2.48,3.0
