,account_length,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,state,area_code,international_plan,voice_mail_plan,churn
3866,110.0,0.0,241.2,105.0,41.0,174.3,85.0,14.82,245.3,59.0,11.04,8.5,4.0,2.0839999999999996,2.0,WA,415.0,no,no,no
3867,121.0,0.0,177.2,142.0,30.12,123.5,88.0,10.5,213.2,51.0,9.59,8.4,6.0,2.27,1.0,WV,510.0,no,no,no
3868,116.0,0.0,89.5,128.0,15.22,180.8,137.0,15.012,193.1,94.0,8.69,14.0,3.0,3.78,2.0,NY,510.0,no,no,no
3869,112.0,16.0,200.3,72.0,34.05,197.8,91.0,16.81,151.1,92.0,6.8,10.4,3.0,2.81,1.0,NE,415.0,yes,yes,no
3870,97.0,0.0,145.0,90.2,24.65,294.3,93.0,25.02,239.8,120.0,10.79,11.0,2.0,2.97,4.0,PA,510.0,yes,no,yes
3871,43.0,0.0,159.5,99.0,27.12,119.7,112.2,12.886,173.9,126.0,7.83,6.8,3.0,1.84,2.0,MS,510.0,no,no,no
3872,110.0,0.0,151.8,111.0,25.81,138.0,126.0,11.73,233.5,112.0,10.51,11.2,8.0,3.02,3.0,IN,415.0,no,no,no
3873,67.0,0.0,176.2,120.0,29.95,236.0,138.0,20.06,152.5,104.0,6.86,10.6,4.0,2.86,1.0,VA,408.0,no,no,no
3874,166.0,0.0,152.1,95.0,25.86,121.0,92.0,10.29,198.0,126.0,8.91,9.8,5.0,2.65,0.0,MN,408.0,no,no,no
3875,129.0,0.0,161.3,122.0,27.42,220.6,95.0,18.75,224.7,104.0,10.11,9.6,3.0,2.59,1.0,DE,408.0,no,no,no
3876,103.0,0.0,171.7,78.0,29.19,144.5,86.0,16.383999999999997,157.9,106.0,7.11,6.8,3.0,1.84,3.0,OR,510.0,yes,no,no
3877,71.0,0.0,226.66,110.0,47.41,190.2,67.0,16.17,255.2,84.0,11.48,11.7,7.0,3.16,0.0,UT,415.0,no,no,yes
3878,112.0,27.0,213.0,121.0,36.21,226.2,101.0,19.23,189.8,99.0,8.54,11.1,3.0,3.0,4.0,CT,415.0,no,yes,no
3879,8.0,36.0,242.9,67.0,41.29,170.9,59.0,14.822,177.3,130.0,7.98,4.8,12.0,1.3,1.0,AL,415.0,no,yes,no
3880,98.0,0.0,217.2,121.0,35.076,303.4,85.0,25.79,197.1,71.0,8.87,12.4,2.0,3.35,0.0,TX,415.0,no,no,yes
3881,90.0,0.0,175.9,111.0,29.9,285.2,115.0,24.24,150.8,122.0,6.832000000000001,13.0,7.0,3.51,1.0,CT,415.0,no,no,no
3882,13.0,0.0,244.82,133.0,51.54,170.5,86.0,14.49,227.6,80.0,10.24,11.5,3.0,3.11,0.0,MS,415.0,no,no,yes
3883,58.0,0.0,238.9,107.0,40.61,187.2,88.0,18.018,181.1,84.0,8.15,11.8,3.0,3.19,2.0,AR,415.0,no,no,no
