"","firmcode","VC","age","country","industry","VCinv","logsales","logemp","logassets","logemp_1","logemp_2","logemp_3","logemp_4","logemp_5","logsales_1","logsales_2","logsales_3","logsales_4","logsales_5","logassets_1","logassets_2","logassets_3","logassets_4","logassets_5"
"1","1123",0,3,"FINLAND","Software",0.00459496257826686,4.61953496932983,0.6931471824646,4.79661226272583,0.6931471824646,0.6931471824646,0.6931471824646,0.6931471824646,0.6931471824646,4.21587657928467,4.7142505645752,4.69880151748657,4.52978992462158,4.70664310455322,4.66248035430908,4.89970397949219,4.84500503540039,4.68084239959717,4.75109767913818
"2","3455",1,0,"GERMANY","Biotech",0.0274285711348057,0,0,0,1.60943794250488,1.60943794250488,2.4849066734314,2.4849066734314,3.40119743347168,5.74887418746948,NA,7.39491987228394,7.65169048309326,8.60462474822998,NA,NA,NA,NA,NA
"3","2210",0,3,"FRANCE","Other R&D",0.00135906494688243,4.90605068206787,1.60943794250488,4.07943534851074,1.60943794250488,NA,1.3862943649292,1.3862943649292,1.3862943649292,5.0977029800415,4.75031566619873,5.14644384384155,5.04871559143066,5.09227418899536,4.25183629989624,4.20411062240601,4.42792224884033,4.22741556167603,4.23646354675293
"4","6454",0,4,"SPAIN","ICT manufacturing",0.00176723045296967,7.24913120269775,2.56494927406311,6.58888292312622,2.7725887298584,3.13549423217773,3.04452252388,3.178053855896,3.40119743347168,7.43908214569092,7.53591060638428,7.61539077758789,7.78810501098633,7.99408054351807,6.85286617279053,6.98898696899414,7.19048976898193,7.37625503540039,7.54080867767334
"5","3449",1,0,"GERMANY","Software",0.00696331541985273,0,0,0,2.7725887298584,3.25809645652771,3.25809645652771,3.25809645652771,3.178053855896,7.92626667022705,7.26660919189453,8.25170516967773,8.73116683959961,8.57210159301758,NA,NA,NA,NA,NA
"6","1433",0,4,"FINLAND","Software",0.00459496257826686,4.50566673278809,0.6931471824646,3.58179616928101,0.6931471824646,0.6931471824646,0.6931471824646,NA,NA,4.55705738067627,4.85243940353394,4.1909556388855,NA,NA,3.55267477035522,3.74520874023438,3.59988021850586,NA,NA
"7","3842",0,0,"GERMANY","ICT manufacturing",0.00543970987200737,0,0,0,2.4849066734314,2.4849066734314,2.4849066734314,2.4849066734314,2.4849066734314,5.8367338180542,NA,NA,7.12237453460693,NA,NA,NA,NA,NA,NA
"8","7737",0,12,"UK","Software",0.00313574750907719,8.05427837371826,3.71357202529907,7.38154220581055,3.80666255950928,3.85014748573303,4.00733327865601,4.12713432312012,NA,8.30224227905273,8.32735729217529,8.27919006347656,8.15046787261963,NA,7.80953598022461,8.00767803192139,8.07952785491943,8.04797077178955,8.20591259002686
"9","5990",0,5,"SPAIN","Robotics",0.0018450184725225,7.08775043487549,2.39789533615112,6.43607187271118,2.4849066734314,2.4849066734314,2.56494927406311,2.7725887298584,2.70805025100708,7.1847825050354,7.34642791748047,7.34276294708252,7.55398035049438,7.53481435775757,6.69641351699829,6.93433332443237,7.01950407028198,7.134596824646,6.97719240188599
"10","1408",0,11,"FINLAND","Robotics",0.00325909839011729,5.46735000610352,1.3862943649292,5.46272897720337,0.6931471824646,NA,NA,1.0986123085022,NA,5.04792261123657,NA,5.1347188949585,4.7175464630127,NA,5.33570051193237,NA,4.82070922851562,4.60312747955322,NA
"11","1481",0,0,"FINLAND","Software",0.00459496257826686,0,0,0,NA,NA,NA,0.6931471824646,0.6931471824646,NA,NA,NA,3.67144393920898,3.83472585678101,NA,NA,NA,2.84082818031311,2.8390679359436
"12","3372",0,7,"FRANCE","Software",0.00617688335478306,10.2908420562744,5.61677122116089,10.4013376235962,6.56103086471558,6.75460386276245,6.62936305999756,6.3171648979187,5.2574954032898,11.4544610977173,11.7703819274902,11.5619859695435,11.3230247497559,11.3675661087036,11.6001405715942,11.3659944534302,11.0525131225586,10.8005857467651,10.9402809143066
"13","2126",0,0,"FRANCE","ICT manufacturing",0.00541679188609123,0,0,0,3.49650764465332,3.36729574203491,3.36729574203491,3.13549423217773,3.04452252388,8.59865379333496,8.4609203338623,8.70284175872803,8.56961727142334,8.18597221374512,8.25656700134277,8.18075370788574,8.44991207122803,8.05364608764648,8.04369831085205
"14","395",0,7,"BELGIUM","Internet",0,6.97051000595093,3.04452252388,8.37621688842773,3.43398714065552,3.43398714065552,NA,NA,NA,6.61031770706177,6.88258075714111,NA,NA,NA,7.87148094177246,7.74034976959229,NA,NA,NA
"15","1528",0,3,"FINLAND","Software",0.00459496257826686,4.73142194747925,0.6931471824646,3.82350540161133,NA,0.6931471824646,0.6931471824646,0.6931471824646,0.6931471824646,3.84078335762024,3.90295124053955,3.70528721809387,3.00341820716858,2.77842044830322,3.52184963226318,3.43254852294922,3.2350332736969,2.49232387542725,0.696261703968048
