state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,customer_id
HI,101,510.0,no,no,0.0,70.9,123.0,12.05,,73.0,,236.0,73.0,10.62,10.6,3.0,2.86,3.0,no,23383607.0
MT,137,510.0,no,no,0.0,223.6,86.0,,244.8,139.0,20.81,94.2,81.0,4.24,9.5,7.0,2.57,0.0,no,22550362.0
OH,103,408.0,no,yes,29.0,294.7,95.0,,237.3,105.0,20.17,300.3,127.0,13.51,13.7,,3.7,1.0,no,59063354.0
NM,99,415.0,no,no,,216.8,123.0,36.86,126.4,88.0,10.74,220.6,82.0,9.93,,2.0,,1.0,no,25464504.0
SC,108,415.0,no,no,0.0,197.4,78.0,33.56,124.0,101.0,10.54,204.5,107.0,9.2,7.7,4.0,2.08,2.0,no,691824.0
IA,117,415.0,no,no,0.0,,85.0,38.51,141.6,68.0,,223.0,90.0,10.04,6.9,5.0,,1.0,no,24456543.0
ND,63,415.0,no,yes,32.0,218.9,,37.21,214.3,125.0,18.22,260.3,120.0,11.71,12.9,3.0,3.48,1.0,no,29694916.0
LA,94,408.0,no,no,,157.5,97.0,26.78,224.5,112.0,19.08,310.8,106.0,13.99,11.1,6.0,3.0,0.0,no,69020915.0
MO,138,510.0,no,no,0.0,89.1,117.0,15.15,126.8,,10.78,190.5,,,9.9,4.0,2.67,2.0,no,22612071.0
TX,128,415.0,no,yes,43.0,,,30.23,147.3,,12.52,194.2,92.0,8.74,11.9,,3.21,0.0,no,12721031.0
AR,113,510.0,no,yes,39.0,209.8,77.0,35.67,,90.0,13.95,159.7,100.0,7.19,9.0,4.0,2.43,1.0,no,41876970.0
TX,140,415.0,no,no,0.0,93.2,109.0,15.84,197.6,116.0,16.8,219.8,94.0,9.89,10.5,2.0,2.84,1.0,no,29022514.0
ME,102,415.0,no,no,0.0,228.1,,38.78,156.0,97.0,13.26,227.9,124.0,10.26,10.6,9.0,2.86,1.0,no,21477385.0
ND,108,415.0,no,no,,112.6,86.0,19.14,114.9,101.0,9.77,177.8,119.0,8.0,7.2,6.0,1.94,3.0,no,38362620.0
DE,60,408.0,no,no,0.0,207.3,77.0,35.24,207.9,105.0,17.67,108.2,89.0,4.87,12.9,5.0,3.48,1.0,no,4476719.0
MN,96,408.0,no,no,,208.1,93.0,35.38,189.2,107.0,16.08,279.6,90.0,12.58,7.4,2.0,2.0,1.0,no,59580324.0
KS,178,415.0,no,yes,22.0,112.8,66.0,19.18,232.6,100.0,19.77,194.8,119.0,8.77,14.3,3.0,3.86,1.0,no,29066792.0
MN,75,415.0,no,no,0.0,225.3,124.0,,228.0,81.0,19.38,254.3,106.0,11.44,11.7,3.0,3.16,1.0,no,308998301.0
NC,106,415.0,no,yes,25.0,169.4,105.0,28.8,240.5,108.0,20.44,159.4,114.0,7.17,,5.0,3.75,4.0,no,31674732.0
HI,158,510.0,no,no,0.0,,121.0,32.86,208.1,97.0,,228.1,99.0,10.26,7.1,9.0,1.92,1.0,no,27180025.0
NV,111,415.0,no,yes,35.0,161.2,142.0,27.4,159.1,104.0,,167.9,98.0,7.56,14.7,5.0,3.97,1.0,no,22430953.0
CO,102,510.0,no,no,0.0,,88.0,16.25,,106.0,14.25,177.3,95.0,7.98,9.8,2.0,2.65,3.0,no,40695116.0
TN,92,510.0,no,yes,25.0,79.8,,13.57,313.6,120.0,26.66,135.5,104.0,6.1,9.3,8.0,2.51,2.0,no,25548363.0
DE,42,415.0,no,yes,31.0,170.8,101.0,29.04,233.4,,19.84,174.2,121.0,7.84,11.0,3.0,2.97,2.0,no,624320.0
OH,69,415.0,no,no,0.0,229.2,111.0,38.96,165.3,104.0,14.05,235.1,80.0,10.58,5.2,5.0,1.4,1.0,no,25395633.0
OR,117,415.0,no,yes,38.0,259.3,94.0,44.08,245.6,71.0,,269.3,125.0,12.12,9.2,1.0,2.48,3.0,no,306925694.0
NE,76,415.0,no,yes,,212.6,110.0,36.14,172.7,97.0,14.68,186.3,78.0,8.38,10.1,5.0,2.73,0.0,no,79746376.0
ID,72,415.0,yes,no,0.0,101.0,110.0,17.17,240.0,70.0,20.4,333.5,105.0,15.01,11.1,6.0,3.0,0.0,no,27729458.0
WY,115,415.0,yes,yes,6.0,,125.0,23.82,157.9,100.0,,249.4,96.0,11.22,10.1,3.0,2.73,1.0,no,20529.0
MD,68,408.0,no,no,0.0,150.4,106.0,25.57,,131.0,,109.7,103.0,4.94,12.3,,3.32,3.0,no,50720911.0
WY,60,510.0,yes,yes,37.0,189.9,125.0,32.28,110.4,107.0,9.38,210.7,115.0,9.48,9.1,5.0,2.46,3.0,no,22960793.0
AZ,97,415.0,no,no,,100.8,74.0,17.14,233.8,88.0,19.87,208.7,79.0,9.39,12.6,3.0,3.4,2.0,no,53227401.0
IA,92,415.0,no,no,0.0,138.1,131.0,23.48,175.7,128.0,14.93,192.7,119.0,8.67,10.0,3.0,2.7,3.0,no,56836901.0
VT,178,510.0,no,no,0.0,179.7,112.0,30.55,276.6,91.0,23.51,169.7,101.0,7.64,10.1,,2.73,3.0,no,52586328.0
KS,90,415.0,no,yes,30.0,191.3,104.0,32.52,257.1,109.0,21.85,177.7,89.0,8.0,11.0,1.0,2.97,1.0,no,13517693.0
MS,72,510.0,no,no,0.0,168.3,76.0,,212.4,126.0,18.05,200.2,132.0,9.01,12.0,3.0,3.24,2.0,no,56178460.0
CA,73,415.0,no,no,0.0,137.6,113.0,23.39,179.7,75.0,15.27,172.8,71.0,7.78,,2.0,2.89,1.0,yes,24882292.0
OH,54,415.0,no,no,0.0,255.4,122.0,43.42,22.3,87.0,,152.6,72.0,6.87,11.1,,3.0,0.0,no,30343685.0
NE,161,415.0,no,no,,166.2,125.0,,279.4,78.0,23.75,181.0,85.0,,13.4,6.0,3.62,1.0,no,22031413.0
CA,125,510.0,yes,no,0.0,158.7,112.0,26.98,155.7,126.0,13.23,246.0,110.0,11.07,8.3,1.0,2.24,2.0,yes,27984533.0
OR,194,415.0,no,no,0.0,,,43.91,306.0,88.0,,241.8,106.0,10.88,13.6,4.0,3.67,1.0,yes,36390219.0
MT,69,510.0,no,yes,40.0,77.0,106.0,13.09,161.7,94.0,13.74,188.6,82.0,8.49,12.5,,3.38,1.0,no,25262015.0
WI,141,415.0,no,yes,33.0,168.4,,28.63,185.1,106.0,15.73,220.0,78.0,9.9,11.0,4.0,2.97,2.0,no,25339474.0
SD,98,415.0,no,no,,307.2,65.0,52.22,138.6,97.0,11.78,381.6,99.0,,10.2,4.0,2.75,2.0,yes,29030632.0
OH,110,510.0,no,no,0.0,175.6,91.0,29.85,236.5,127.0,20.1,,114.0,8.77,9.5,8.0,2.57,0.0,no,69924017.0
ME,70,415.0,no,no,0.0,169.1,48.0,,219.8,62.0,18.68,193.5,105.0,8.71,10.7,8.0,2.89,3.0,no,8063695.0
NM,72,415.0,no,no,0.0,190.7,111.0,32.42,241.6,103.0,20.54,278.1,95.0,12.51,4.4,3.0,1.19,1.0,no,32260697.0
WV,66,415.0,no,no,0.0,239.6,120.0,40.73,230.3,110.0,19.58,153.0,82.0,6.89,,3.0,,1.0,no,51987113.0
MN,79,510.0,no,no,0.0,121.3,112.0,20.62,282.8,107.0,24.04,,83.0,5.54,7.4,4.0,,1.0,no,22868814.0
MI,61,408.0,no,no,0.0,208.4,102.0,35.43,326.1,96.0,27.72,201.9,73.0,9.09,,8.0,2.73,1.0,yes,33890245.0
CO,97,510.0,yes,no,0.0,230.6,131.0,39.2,261.3,136.0,22.21,157.1,96.0,7.07,6.8,4.0,1.84,0.0,no,5044516.0
HI,63,415.0,no,no,0.0,,95.0,19.13,211.2,67.0,,227.5,96.0,10.24,11.1,8.0,3.0,0.0,no,25279563.0
VT,77,408.0,no,yes,36.0,172.2,,,161.6,112.0,13.74,259.7,115.0,11.69,11.8,4.0,,2.0,no,50749241.0
TX,73,408.0,no,no,0.0,195.3,97.0,33.2,96.8,89.0,8.23,243.1,84.0,10.94,16.2,13.0,4.37,1.0,no,28833192.0
VT,105,510.0,no,no,0.0,167.7,93.0,28.51,234.1,103.0,19.9,169.7,121.0,7.64,6.9,5.0,1.86,3.0,no,56525611.0
OR,159,408.0,no,no,,180.1,103.0,30.62,193.4,148.0,16.44,251.2,109.0,11.3,,5.0,3.62,0.0,no,57311961.0
NM,83,510.0,no,no,,129.6,81.0,22.03,189.7,117.0,16.12,,118.0,9.86,9.8,4.0,2.65,2.0,no,28799229.0
SD,93,510.0,no,no,0.0,215.5,108.0,36.64,230.9,70.0,19.63,144.1,134.0,6.48,,4.0,3.56,0.0,no,52090354.0
MD,106,408.0,no,yes,22.0,218.6,83.0,,244.4,70.0,,132.4,99.0,5.96,9.1,6.0,2.46,1.0,no,304298219.0
