,state,area_code,international_plan,voice_mail_plan,churn
0,HI,510.0,no,no,no
1,MT,510.0,no,no,no
2,OH,408.0,no,yes,no
3,NM,415.0,no,no,no
4,SC,415.0,no,no,no
5,IA,415.0,no,no,no
6,ND,415.0,no,yes,no
7,LA,408.0,no,no,no
8,MO,510.0,no,no,no
9,TX,415.0,no,yes,no
10,AR,510.0,no,yes,no
11,TX,415.0,no,no,no
12,ME,415.0,no,no,no
13,ND,415.0,no,no,no
14,DE,408.0,no,no,no
15,MN,408.0,no,no,no
16,KS,415.0,no,yes,no
17,MN,415.0,no,no,no
18,NC,415.0,no,yes,no
19,HI,510.0,no,no,no
20,NV,415.0,no,yes,no
21,CO,510.0,no,no,no
22,TN,510.0,no,yes,no
23,DE,415.0,no,yes,no
24,OH,415.0,no,no,no
25,OR,415.0,no,yes,no
26,NE,415.0,no,yes,no
27,ID,415.0,yes,no,no
28,WY,415.0,yes,yes,no
29,MD,408.0,no,no,no
30,WY,510.0,yes,yes,no
31,AZ,415.0,no,no,no
32,IA,415.0,no,no,no
33,VT,510.0,no,no,no
34,KS,415.0,no,yes,no
35,MS,510.0,no,no,no
36,CA,415.0,no,no,yes
37,OH,415.0,no,no,no
38,NE,415.0,no,no,no
39,CA,510.0,yes,no,yes
40,OR,415.0,no,no,yes
41,MT,510.0,no,yes,no
42,WI,415.0,no,yes,no
43,SD,415.0,no,no,yes
44,OH,510.0,no,no,no
45,ME,415.0,no,no,no
46,NM,415.0,no,no,no
47,WV,415.0,no,no,no
48,MN,510.0,no,no,no
49,MI,408.0,no,no,yes
50,CO,510.0,yes,no,no
51,HI,415.0,no,no,no
52,VT,408.0,no,yes,no
53,TX,408.0,no,no,no
54,VT,510.0,no,no,no
55,OR,408.0,no,no,no
56,NM,510.0,no,no,no
57,SD,510.0,no,no,no
58,MD,408.0,no,yes,no
59,UT,415.0,no,no,no
60,NJ,415.0,no,no,no
61,MA,408.0,no,yes,no
62,NV,415.0,no,no,yes
63,TN,510.0,no,no,no
64,ME,510.0,no,no,no
65,AL,415.0,no,no,no
66,LA,408.0,no,no,no
67,AL,415.0,no,no,no
68,FL,415.0,no,no,no
69,FL,510.0,no,no,no
70,SC,415.0,no,no,no
71,ID,415.0,no,no,no
