iter	RMSE
0	26.04174783
1	23.56847954
2	21.40067254
3	19.50337948
4	17.85072224
5	16.44720068
6	15.21814596
7	14.17485006
8	13.28214218
9	12.51260493
10	11.84333267
11	11.28763144
12	10.82758875
13	10.4314027
14	10.10236244
15	9.827345236
16	9.597607899
17	9.40575756
18	9.240784838
19	9.103038696
20	8.987760113
21	8.897815848
22	8.81933833
23	8.752778334
24	8.694598345
25	8.641700112
26	8.599102469
27	8.566149502
28	8.532901126
29	8.505855543
30	8.479842566
31	8.461472692
32	8.441571892
33	8.424923506
34	8.408373339
35	8.395999827
36	8.384932017
37	8.375630198
38	8.366308537
39	8.358463318
40	8.351987324
41	8.34478643
42	8.338905603
43	8.327887556
44	8.322674907
45	8.314195982
46	8.307477617
47	8.3046725
48	8.299164706
49	8.295380575
50	8.288047278
51	8.282928215
52	8.278055593
53	8.274061605
54	8.271469662
55	8.265493827
56	8.263031617
57	8.258993481
58	8.254300889
59	8.251905316
60	8.248629062
61	8.244776385
62	8.241909901
63	8.237365397
64	8.233874996
65	8.230949514
66	8.228836178
67	8.226284995
68	8.222922948
69	8.221451593
70	8.219759324
71	8.216480982
72	8.213945832
73	8.210865709
74	8.208936836
75	8.206503931
76	8.204927371
77	8.203513502
78	8.201187043
79	8.200166388
80	8.197774291
81	8.195980945
82	8.194767429
83	8.192953939
84	8.190775982
85	8.188746855
86	8.186542376
87	8.184715867
88	8.181643363
89	8.179247884
90	8.177488874
91	8.176279582
92	8.174462857
93	8.172711518
94	8.171100768
95	8.169361709
96	8.168445905
97	8.166899372
98	8.165488935
99	8.164246472
100	8.162514771
101	8.160984815
102	8.16005176
103	8.158810981
104	8.157673877
105	8.155809376
106	8.154689532
107	8.153741756
108	8.152061343
109	8.150618146
110	8.148206643
111	8.14712673
112	8.145970868
113	8.14459615
114	8.142606534
115	8.141005799
116	8.140302534
117	8.139075005
118	8.137642678
119	8.136232239
120	8.135007704
121	8.13410067
122	8.133335079
123	8.131988407
124	8.131160643
125	8.12983015
126	8.128489031
127	8.126790066
128	8.124849252
129	8.123957814
130	8.123035638
131	8.121421489
132	8.120063934
133	8.119430741
134	8.118472172
135	8.117447367
136	8.116561516
137	8.115292505
138	8.114282256
139	8.113594802
140	8.111718542
141	8.11078459
142	8.108874906
143	8.107420364
144	8.106268575
145	8.105267381
146	8.10385509
147	8.103169522
148	8.102036847
149	8.10085386
150	8.099694543
151	8.098975277
152	8.097745906
153	8.096924856
154	8.095615065
155	8.094897268
156	8.093569787
157	8.092513445
158	8.09174569
159	8.090695555
160	8.09014497
161	8.089233132
162	8.088695017
163	8.087659917
164	8.086955234
165	8.086489384
166	8.085759453
167	8.084848294
168	8.083584441
169	8.082966398
170	8.082141204
171	8.081099034
172	8.080047687
173	8.079365129
174	8.07858796
175	8.077630675
176	8.076719227
177	8.076070434
178	8.075649925
179	8.074811981
180	8.073925487
181	8.073232551
182	8.072466643
183	8.071805741
184	8.070927775
185	8.070398839
