iter	Passed	Remaining
0	30	30556
1	78	39333
2	115	38365
3	142	35538
4	170	33866
5	207	34436
6	245	34756
7	270	33544
8	298	32855
9	333	33033
10	375	33783
11	407	33515
12	435	33080
13	463	32631
14	489	32114
15	515	31718
16	543	31405
17	571	31189
18	603	31152
19	642	31494
20	674	31460
21	700	31123
22	723	30753
23	752	30587
24	776	30298
25	798	29901
26	820	29572
27	842	29258
28	868	29072
29	891	28837
30	920	28759
31	942	28505
32	963	28232
33	985	27993
34	1012	27920
35	1034	27705
36	1058	27543
37	1083	27427
38	1104	27226
39	1126	27037
40	1149	26881
41	1183	26999
42	1211	26960
43	1235	26842
44	1256	26661
45	1282	26601
46	1306	26500
47	1328	26348
48	1351	26226
49	1370	26043
50	1399	26039
51	1424	25962
52	1448	25877
53	1470	25769
54	1489	25588
55	1514	25522
56	1534	25391
57	1555	25259
58	1580	25212
59	1603	25127
60	1625	25025
61	1651	24992
62	1674	24910
63	1703	24913
64	1730	24889
65	1753	24818
66	1774	24717
67	1798	24651
68	1820	24567
69	1847	24540
70	1872	24496
71	1901	24512
72	1925	24452
73	1953	24446
74	1976	24377
75	2003	24363
76	2026	24295
77	2051	24246
78	2081	24269
79	2104	24207
80	2137	24253
81	2164	24229
82	2187	24168
83	2212	24128
84	2237	24084
85	2258	23998
86	2285	23983
87	2304	23883
88	2331	23860
89	2358	23848
90	2386	23841
91	2405	23738
92	2432	23719
93	2459	23705
94	2479	23624
95	2505	23595
96	2529	23543
97	2551	23483
98	2571	23404
99	2596	23370
100	2636	23470
101	2664	23457
102	2687	23401
103	2712	23368
104	2740	23355
105	2762	23294
106	2781	23212
107	2805	23174
108	2830	23135
109	2851	23074
110	2881	23076
111	2909	23065
112	2927	22978
113	2951	22941
114	2974	22889
115	3003	22890
116	3030	22872
117	3054	22828
118	3073	22753
119	3099	22727
120	3125	22705
121	3153	22695
122	3177	22658
123	3203	22633
124	3224	22568
125	3242	22492
126	3261	22422
127	3293	22435
128	3342	22565
129	3365	22519
130	3398	22543
131	3427	22541
132	3459	22551
133	3483	22511
134	3513	22512
135	3540	22493
136	3561	22433
137	3584	22387
138	3612	22375
139	3631	22308
140	3657	22284
141	3684	22261
142	3713	22256
143	3744	22260
144	3770	22232
145	3792	22185
146	3817	22153
147	3841	22111
148	3871	22112
149	3890	22048
150	3918	22032
151	3941	21992
152	3964	21945
153	3991	21928
154	4012	21877
155	4036	21840
156	4062	21813
157	4089	21791
158	4115	21770
159	4146	21767
160	4169	21728
161	4193	21691
162	4215	21647
163	4241	21620
164	4267	21598
165	4295	21580
166	4324	21570
167	4358	21585
168	4383	21554
169	4412	21543
170	4432	21488
171	4455	21450
172	4480	21418
173	4503	21378
174	4522	21322
175	4542	21268
176	4570	21250
177	4593	21211
178	4615	21169
179	4643	21153
180	4664	21108
181	4689	21077
182	4716	21058
183	4742	21033
184	4770	21016
185	4791	20971
186	4812	20923
187	4876	21063
188	4915	21091
189	4940	21063
190	4962	21021
191	4990	21000
192	5014	20965
193	5043	20953
194	5075	20952
195	5097	20910
196	5128	20903
197	5162	20912
198	5198	20923
199	5233	20933
200	5258	20903
201	5284	20874
202	5317	20877
203	5342	20844
204	5368	20818
205	5399	20811
206	5427	20793
207	5456	20775
208	5477	20731
209	5499	20688
210	5525	20661
211	5549	20627
212	5573	20592
213	5597	20559
214	5616	20506
215	5647	20498
216	5666	20446
217	5692	20418
218	5711	20366
219	5742	20360
220	5767	20330
221	5792	20300
222	5827	20303
223	5850	20266
224	5874	20233
225	5897	20195
226	5927	20186
227	5956	20169
228	5989	20165
229	6015	20139
230	6036	20093
231	6063	20071
232	6093	20058
233	6114	20016
234	6143	20000
235	6167	19966
236	6194	19944
237	6220	19917
238	6242	19875
239	6260	19825
240	6289	19807
241	6315	19781
242	6340	19752
243	6370	19739
244	6399	19719
245	6422	19686
246	6450	19665
247	6475	19634
248	6500	19605
249	6526	19578
250	6549	19544
251	6575	19516
252	6603	19497
253	6634	19484
254	6657	19449
255	6678	19408
256	6708	19394
257	6738	19379
258	6763	19350
259	6785	19311
260	6810	19283
261	6845	19281
262	6871	19254
263	6900	19239
264	6931	19224
265	6956	19195
266	6982	19168
267	7008	19142
268	7034	19117
269	7068	19110
270	7093	19080
271	7119	19055
272	7148	19036
273	7172	19005
274	7198	18979
275	7234	18977
276	7256	18941
277	7283	18916
278	7302	18871
279	7333	18857
280	7351	18810
281	7383	18798
282	7411	18777
283	7433	18740
284	7454	18702
285	7480	18675
286	7497	18625
287	7523	18599
288	7557	18591
289	7595	18595
290	7618	18561
291	7646	18539
292	7672	18513
293	7702	18497
294	7732	18479
295	7760	18457
296	7785	18428
297	7817	18416
298	7839	18378
299	7872	18369
300	7905	18358
301	7930	18328
302	7953	18296
303	7979	18267
304	8004	18238
305	8025	18202
306	8060	18195
307	8091	18179
308	8119	18157
309	8139	18116
310	8164	18088
